STATE,COUNTY,YEAR,JOB_VALUE,Classification
CA,ORANGE,2019,21900,NON_ADU
CA,ORANGE,2019,15000,NON_ADU
FL,ORANGE,2019,5000,NON_ADU
CA,ORANGE,2019,250,NON_ADU
CA,ORANGE,2019,7000,NON_ADU
CA,ORANGE,2019,15000,NON_ADU
FL,PINELLAS,2019,8600,NON_ADU
CA,ORANGE,2020,40000,NON_ADU
CA,ORANGE,2020,7500,NON_ADU
FL,PINELLAS,2020,4088,NON_ADU
CA,ORANGE,2020,4384,NON_ADU
CA,ORANGE,2020,18000,NON_ADU
FL,MIAMI-DADE,2020,8500,NON_ADU
CA,ORANGE,2020,3500,ADU
CA,ORANGE,2020,10000,NON_ADU
CA,ORANGE,2020,65000,ADU
CA,ORANGE,2020,6000,NON_ADU
FL,PINELLAS,2020,2400,NON_ADU
CA,ORANGE,2020,1000,NON_ADU
FL,MIAMI-DADE,2020,1100,NON_ADU
CA,ORANGE,2020,10000,NON_ADU
CA,ORANGE,2020,100000,NON_ADU
CA,ORANGE,2020,125000,ADU
FL,PINELLAS,2020,2463,NON_ADU
FL,MIAMI-DADE,2020,443751,NON_ADU
CA,ORANGE,2020,9000,NON_ADU
FL,ORANGE,2020,6000,NON_ADU
CA,ORANGE,2020,45707,ADU
CA,ORANGE,2020,8000,NON_ADU
CA,ORANGE,2020,43000,NON_ADU
CA,ORANGE,2020,45000,NON_ADU
CA,ORANGE,2020,12000,NON_ADU
CA,ORANGE,2020,30000,NON_ADU
FL,MIAMI-DADE,2020,5000,NON_ADU
CA,ORANGE,2020,6269,NON_ADU
CA,ORANGE,2020,28615,NON_ADU
CA,ORANGE,2020,252160,ADU
CA,ORANGE,2020,4146,NON_ADU
FL,PINELLAS,2020,7000,NON_ADU
CA,ORANGE,2020,10000,NON_ADU
CA,ORANGE,2020,30000,NON_ADU
FL,PINELLAS,2020,4960,NON_ADU
CA,ORANGE,2020,7000,NON_ADU
CA,ORANGE,2020,20000,NON_ADU
CA,ORANGE,2020,150000,NON_ADU
CA,ORANGE,2020,36346,POTENTIAL_ADU_CONVERSION
FL,PINELLAS,2020,4240,NON_ADU
CA,ORANGE,2020,55000,NON_ADU
CA,ORANGE,2020,7500,NON_ADU
CA,ORANGE,2020,8000,NON_ADU
CA,ORANGE,2020,22373,NON_ADU
FL,PINELLAS,2020,2400,NON_ADU
FL,PINELLAS,2020,3423,NON_ADU
CA,ORANGE,2020,2000,NON_ADU
CA,ORANGE,2020,135000,NON_ADU
FL,PINELLAS,2020,3200,NON_ADU
CA,ORANGE,2020,25000,NON_ADU
CA,ORANGE,2020,6000,NON_ADU
CA,ORANGE,2020,15000,NON_ADU
CA,ORANGE,2020,5500,NON_ADU
FL,PINELLAS,2020,2092,NON_ADU
CA,ORANGE,2020,4603,NON_ADU
CA,ORANGE,2020,50000,NON_ADU
FL,PINELLAS,2020,15076,NON_ADU
CA,ORANGE,2020,14000,NON_ADU
CA,ORANGE,2020,152000,ADU
CA,ORANGE,2020,3368,NON_ADU
FL,PINELLAS,2020,3174,NON_ADU
CA,ORANGE,2020,200,NON_ADU
CA,ORANGE,2020,75000,NON_ADU
CA,ORANGE,2020,100000,POTENTIAL_ADU_CONVERSION
